staus,Partner,Last Created,Partner Total Count,Last Created Count,Not inserted count,Past Events Count,Duplicates,Venue not found,Source File,dropbox path,Frequency,Server,Reason,Path,Api link,status,type,Crawl,check fuzzy not match,check code,
,grooveticket,2018-11-04 9:31:26,1,1,,,,,,,Daily,198.61.136.173,need to check,/home/fcampbell/eventPartner/grooveticket/insertEvents-grooveticket.php,http://flavorus.com/wafform.aspx?_act=clientaffiliatesearch&AJAX=1&rss=1&_pky=27319&AffiliateKey=ZFZS0K,,,,,,
,guidle,2026-07-29 0:05:49,5713,1249,2267,,,,/home/fcampbell/eventPartner_174/guidle/guidle.xml,https://www.dropbox.com/scl/fi/xbc3n3ntnx2iqqyxc8bax/guidle.xlsx?rlkey=dij72hqh9tusmvbll3hgfo86v&st=srmqq7kb&dl=0,wed-sat,3.94.49.56,,/home/fcampbell/eventPartner_174/guidle/,,,feed,No,,,
,heckticket,2014-02-10 6:17:00,1,1,,,,,,,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/heckticket/insertEvents_heckticket.php,,,,,,,
,holdmyticket,2026-07-28 7:18:27,220,151,2079,,,,/home/fcampbell/eventPartner_174/holdmyticket/insertEvents-holdmyticket.php,https://www.dropbox.com/scl/fi/f18v3l8icywk10fwtuc7m/holdmyticket.xlsx?rlkey=5r8mrkwpyk4xa71bhzw71xg42&st=f68dqv14&dl=0,Daily,3.94.49.56,,/home/fcampbell/eventPartner_174/holdmyticket/insertEvents-holdmyticket.php,,,feed,done,,,
,kassir,2026-07-28 7:36:04,169,66,89,,,,/home/fcampbell/eventPartner_174/kassir/feed.xml,https://www.dropbox.com/scl/fi/u88ebgimpyqey1w5qwnct/kassir.xlsx?rlkey=d7pc31ise44yl7cxwn3eymm0c&st=z59tuzs6&dl=0,Daily,3.94.49.56,451 Unavailable For Legal Reasons,/home/fcampbell/eventPartner_174/kassir/InsertVenue_Events.php,https://msk.kassir.ru/frame/feed/xml?key=9b700613-ce77-d1a9-f169-50ee8e9c764f,,feed,no,,,
,konzertkasse-de,2026-07-28 0:01:02,19,1,,,,,,,weekly,3.94.49.56,Stoppped,/home/fcampbell/eventPartner_174/konzertkasse-de/insert_events.php,,,,,,,
,laughstub,2014-06-10 12:37:10,5,5,,,,,,,Daily,3.94.49.56,need to check,/home/fcampbell/eventPartner_174/laughstub/insertEvents-laughstub.php,,,,,,,
,linticket,2026-07-25 0:52:27,278,74,561,,,,/home/fcampbell/eventPartner_174/linticket/insert_event.php,https://www.dropbox.com/scl/fi/mr2a2niy699kwfkfgjchs/linticket.xlsx?rlkey=0ijwk52u66uza0riijqxt0n6y&st=wv1tqsky&dl=0,weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/linticket/insert_event.php,,,feed,no,,,
,livenation-europe,2017-11-24 10:20:02,3,2,,,,,,,Daily,198.61.136.173,need to check,/home/fcampbell/eventPartner/livenation-europe/insertEvents-livenation_europe.php,http://developer.livenationinternational.com/api?auth=ln&country=dk,,,,,,
,Milwaukee,2017-12-18 15:44:08,3870,1,,,,,,,weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/milwaukee365/insertMilwaukee365.php,,,,,,,
,musement,2024-10-22 7:15:55,485,1,,,,,,,weekly,44.198.210.209,need to check,/home/fcampbell/faizan/Museum/Event_details/Insert/InsertEvents_Musement.php,,,,,,,
,music-opera,2026-07-25 21:02:17,1932,152,355,,,,/home/fcampbell/eventPartner/music-opera/datafeed_139743.csv,https://www.dropbox.com/scl/fi/1s2unb54uhupnw45okurf/music-opera.xlsx?rlkey=ld91vvx6gww8lo6qy3nx5lw7l&st=y6s932kk&dl=0,weekly,198.61.136.173,,/home/fcampbell/eventPartner/music-opera/insert_events.php,,,feed,no,,,
,myticket.de,2026-07-24 6:03:09,822,52,234,,,,/var/www/html/admin/administrator/components/com_events_venue/myticket.de/myticket-Produktdatenfeed_IR.csv,https://www.dropbox.com/scl/fi/mln5peorhzxzcm83sr4e3/myticket.de.xlsx?rlkey=t4r0ugejp5fez2xf6q4qghfgo&st=1qxzk88t&dl=0,Manualy every tuesday,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/myticket.de/insert_events.php,,,feed,no,,,
,NBL,2024-10-24 2:00:34,81,1,,,,,,,Monthly(Manual as per requirment),198.61.136.173,Tournament is finished,/home/fcampbell/eventPartner/NBL,,no upload on dropbox,,,,,
,nortic.se,2026-07-25 9:52:48,5169,1049,8033,,,,/home/fcampbell/eventPartner_174/nortic.se/norticfeed.json,https://www.dropbox.com/scl/fi/f9p2uk4f3oakrx2t8lp0o/nortic.se.xlsx?rlkey=tz3z28zszmb34ytooqrajxzfm&st=72tl7nyv&dl=0,Alternate weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/nortic.se,,,feed,no,,,
,nowplayingnashville,2023-10-08 0:01:01,10919,1,,,,,,,weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/nowplayingnashville/insertevents_nowplayingnashville.php,,,,,,,
,oeticket,2017-12-18 15:44:08,4,1,,,,,,,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/oeticket/insertEvents_oeticket.php,,,,,,,
,olympics,,,,,,,,,,manual-onetime,,,,,,,no,,,
need to check ,oztix,2026-07-26 22:23:02,1642,539,,,,,,,Manual,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/oztix/insertEvent-oztix.php,,closed,,,,,
,platinumlist,2026-07-28 9:06:12,1172,256,239,,,,/home/fcampbell/eventPartner/platinumlist/platinumlist_events_new.csv,https://www.dropbox.com/scl/fi/dy7wd2kxyqdpq5316v0rq/platinumlist.xlsx?rlkey=gfwcpdzapv32bg5qdw749q5f7&st=xd5je6lt&dl=0,Weekly,34.197.195.248,,/home/fcampbell/eventPartner/platinumlist,,,,done,,,
,prekindle,2026-07-26 22:17:19,2082,725,205,,,,/var/www/html/admin/administrator/components/com_events_venue/prekindle/Prekindle.xml,https://www.dropbox.com/scl/fi/gyyprj0mgs1k7eh2zxtqo/prekindle.xlsx?rlkey=ercvbwo7x6z57l1j0amrrqsxo&st=r7h2zn8q&dl=0,Weekly,44.198.210.209,Url feed internal server error,/var/www/html/admin/administrator/components/com_events_venue/prekindle/insertEvents-prekindle.php,http://www.prekindle.com/api/eventseeker-feed/,,feed,no,,,
need to check ,residentadvisor,2025-01-01 0:01:01,5,1,,,,,,,Manual,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/residentadvisor/insertEvents_resident.php,,closed,scraping,,,,
,sacramento365,2026-07-25 0:51:12,272,153,761,,,,/home/fcampbell/eventPartner_174/sacramento365/insertSacramento365.php,https://www.dropbox.com/scl/fi/rv47a65f7cholgkgxh387/sacramento365.xlsx?rlkey=djeer6axv91vryd0zy7d85nt5&st=p2pf5pxu&dl=0,weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/sacramento365/insertSacramento365.php,,,scraping,done,,,
,schema,2026-07-29 0:01:02,5202,60,,,,,,,New Partner Need to add in details file,,,,,no upload on dropbox,,,,,
,schema-artist,2025-10-19 0:01:01,1,1,,,,,,,New Partner Need to add in details file,,,,,,,,,,
,schema-bw,2026-07-28 3:36:50,27472,4444,,,,,,,New Partner Need to add in details file,,,,,,,,,,
,scorebig,2025-05-27 2:30:41,18114,42,,,,,,,Weekly,3.94.49.56,URL not working inform to Ozair Sir,/home/fcampbell/eventPartner_174/scorebig/insert_events.php,,,Feed issue verification coe,,,,
,seatgeek,2026-07-28 11:44:46,32217,9124,1025,,,,/home/fcampbell/eventPartner/seatgeek/seatgeek_events_files.csv,https://www.dropbox.com/scl/fi/m0zh6cqixxprc2an5jfz8/seatgeek.xlsx?rlkey=67qc9s0k5j7jr23e0uvoag2ik&st=ub1oa4y9&dl=0,Alternate weekly,3.94.49.56,,/home/fcampbell/eventPartner/seatgeek,,,feed,done,,,
,seeticket,2026-07-27 0:01:01,7833,3,5715,,,,/var/www/html/admin/administrator/components/com_events_venue/seeticket/datafeed_139743.csv,https://www.dropbox.com/scl/fi/9qxrnpr9h8soxdj1kxux8/seeticket.xlsx?rlkey=yuxglhu1f7ip1pnr2flt0sm54&st=ok5rqeop&dl=0,Alternate weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/seeticket/insert_Events_seeticket.php,,,feed,no,,,
,seeticket_US,2026-07-27 0:01:01,3103,1604,1086,,,,/var/www/html/admin/administrator/components/com_events_venue/seeticket_US/,https://www.dropbox.com/scl/fi/ak4vtj2ccljwpfvcqqyka/seeticket_US.xlsx?rlkey=8j9rgpycu260qnyrrd6np5ma0&st=8t4zjuzi&dl=0,Monthly(Manual),44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/seeticket_US/,,,feed,No (Manual),,,
,seeticket-es,2023-08-14 8:43:44,1,1,,,,,,,Alternate weekly,44.198.210.209,need to check,/var/www/html/admin/administrator/components/com_events_venue/seeticket-ES/insert_events.php,"https://productdata.awin.com/datafeed/download/apikey/8d4cc28343c7517a7d9e88b4b341b4ce/language/es/fid/41299/cid/586,590,592,588,591,589/columns/aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,merchant_deep_link,display_price,data_feed_id,rrp_price,in_stock,stock_status,merchant_thumb_url,large_image,alternate_image,aw_thumb_url,custom_1,custom_2,custom_3,Tickets%3Aprimary_artist,Tickets%3Asecond_artist,Tickets%3Aevent_date,Tickets%3Aevent_name,Tickets%3Avenue_name,Tickets%3Avenue_address,Tickets%3Aavailable_from,Tickets%3Agenre,Tickets%3Amin_price,Tickets%3Amax_price,Tickets%3Alongitude,Tickets%3Alatitude,Tickets%3Aevent_location_address,Tickets%3Aevent_location_zipcode,Tickets%3Aevent_location_city,Tickets%3Aevent_location_region,Tickets%3Aevent_location_country,Tickets%3Aevent_location_coordinates,Tickets%3Aevent_duration/format/csv/delimiter/%2C/compression/zip/adultcontent/1/",,,,,,
Feed not available,seeticket-fr,2026-02-18 9:25:51,5,2,2962,,,,/var/www/html/admin/administrator/components/com_events_venue/seeticket-FR/datafeed_139743.csv,https://www.dropbox.com/scl/fi/b4bkt6hc49fl6pno113px/seeticket-fr.xlsx?rlkey=bpsoz0xgcfi4pass86jkhyy6d&st=3p4qc0i0&dl=0,Alternate weekly,Alternate weekly,,/var/www/html/admin/administrator/components/com_events_venue/seeticket-FR/insert_events.php,No product found,,feed,no,,,
